iter	RMSE
0	118265.2937
1	114650.6799
2	111518.7285
3	108750.6505
4	106227.3059
5	104071.3381
6	102149.3908
7	100440.4787
8	98904.23625
9	97523.846
10	96224.51832
11	95167.26869
12	94190.97606
13	93324.24064
14	92468.47147
15	91757.36212
16	91153.03059
17	90546.64723
18	90063.55151
19	89579.94918
20	89174.058
21	88811.67553
22	88464.90731
23	88130.19779
24	87843.75796
25	87581.27374
26	87334.13497
27	87109.79507
28	86908.27028
29	86637.66114
30	86434.92979
31	86221.03111
32	86075.14317
33	85936.57239
34	85782.58882
35	85665.06946
36	85554.17881
37	85451.13978
38	85357.39613
39	85241.58706
40	85154.49954
41	85070.64952
42	84948.58506
43	84838.01394
44	84734.74083
45	84645.91023
46	84586.25082
47	84511.80852
48	84452.54382
49	84398.02376
50	84328.59685
51	84256.02552
52	84204.7171
53	84136.94014
54	84086.44477
55	84036.9715
56	83999.20351
57	83949.97677
58	83901.93149
59	83844.14308
60	83792.54538
61	83761.01256
62	83734.1252
63	83703.48202
64	83651.44109
65	83612.18246
66	83556.15357
67	83518.77703
68	83480.4944
69	83461.70845
70	83430.78544
71	83395.90186
72	83325.42852
73	83277.53039
74	83244.39172
75	83206.60587
76	83165.63997
77	83134.27217
78	83101.21893
79	83080.63558
80	83051.75263
81	83027.93637
82	83009.40821
83	82987.38168
84	82950.74932
85	82934.98374
86	82902.60368
87	82880.42812
88	82864.85354
89	82846.26871
90	82828.05049
91	82811.33718
92	82793.48054
93	82777.80404
94	82735.1486
95	82721.45679
96	82685.11048
97	82664.78902
98	82639.94162
99	82624.13382
100	82612.7965
101	82586.95607
102	82553.48352
103	82537.9762
104	82522.39775
105	82502.18791
106	82474.98186
107	82462.90482
108	82451.90731
109	82433.29688
110	82417.26328
111	82390.8024
112	82368.76532
113	82359.89955
114	82352.45995
115	82331.52394
116	82317.26774
117	82301.31062
118	82269.47811
119	82246.41661
120	82237.57244
121	82216.32017
122	82193.62026
123	82176.00204
124	82163.48988
125	82142.55276
126	82107.87527
127	82083.14266
128	82066.49076
129	82040.57866
130	82030.66828
131	82015.18803
132	82001.65127
133	81980.46864
134	81966.31353
135	81944.9786
136	81929.10078
137	81912.33494
138	81900.83135
139	81887.7404
140	81876.09889
141	81853.08285
142	81836.48144
143	81822.59677
144	81810.90381
145	81795.86299
146	81777.6077
147	81766.6577
148	81750.84004
149	81738.54421
150	81726.18867
151	81716.838
152	81704.17889
153	81694.48575
154	81671.4179
155	81658.78513
156	81646.08397
157	81625.69158
158	81619.94278
159	81611.29875
160	81605.22079
161	81585.69447
162	81557.78771
163	81549.01527
164	81538.06191
165	81514.24008
166	81496.54695
167	81478.6192
168	81471.21795
169	81463.51696
170	81455.63007
171	81443.52126
172	81430.46461
173	81421.42424
174	81409.50397
175	81392.69557
176	81379.88641
177	81368.62861
178	81350.36659
179	81339.9875
180	81331.40774
181	81320.61342
182	81312.20885
183	81299.06341
184	81281.48401
185	81265.23468
186	81254.73692
187	81242.29192
188	81232.14018
189	81214.77441
190	81205.12872
191	81192.89195
192	81185.68255
193	81178.94947
194	81165.43805
195	81148.76189
196	81135.39185
197	81122.73397
198	81112.62067
199	81086.90295
200	81069.42784
201	81061.67278
202	81047.06598
203	81029.66419
204	81022.13589
205	81006.75564
206	80999.99005
207	80989.60672
208	80970.74014
209	80959.54743
210	80949.60106
211	80939.81509
212	80932.06169
213	80923.73413
