iter	Passed	Remaining
0	139	139729
1	146	73230
2	154	51373
3	162	40410
4	170	33888
5	178	29610
6	186	26506
7	195	24267
8	206	22724
9	215	21362
10	224	20170
11	234	19312
12	246	18718
13	256	18061
14	266	17467
15	276	16979
16	284	16448
17	292	15965
18	301	15580
19	309	15179
20	317	14790
21	324	14435
22	332	14127
23	340	13845
24	348	13596
25	356	13356
26	363	13115
27	371	12893
28	378	12682
29	386	12510
30	394	12340
31	403	12205
32	410	12023
33	427	12157
34	446	12302
35	458	12286
36	466	12151
37	478	12106
38	485	11958
39	493	11838
40	500	11713
41	508	11592
42	516	11493
43	524	11386
44	532	11296
45	539	11186
46	547	11097
47	555	11010
48	563	10934
49	570	10835
50	577	10751
51	585	10668
52	592	10589
53	599	10506
54	607	10430
55	615	10378
56	623	10316
57	631	10257
58	639	10204
59	646	10133
60	654	10076
61	661	10013
62	669	9961
63	677	9906
64	684	9852
65	692	9801
66	700	9755
67	709	9725
68	717	9687
69	725	9643
70	733	9593
71	741	9557
72	748	9503
73	756	9465
74	763	9414
75	770	9370
76	778	9328
77	785	9283
78	791	9231
79	799	9188
80	806	9150
81	813	9103
82	820	9061
83	826	9015
84	835	8991
85	842	8956
86	850	8928
87	857	8886
88	865	8856
89	872	8819
90	879	8784
91	886	8746
92	893	8712
93	900	8681
94	907	8649
95	915	8617
96	921	8581
97	929	8556
98	936	8527
99	955	8596
100	974	8676
101	983	8657
102	991	8633
103	999	8612
104	1009	8606
105	1017	8585
106	1025	8555
107	1032	8528
108	1039	8497
109	1047	8472
110	1053	8441
111	1062	8421
112	1069	8393
113	1077	8375
114	1083	8341
115	1091	8321
116	1098	8292
117	1106	8273
118	1114	8247
119	1121	8226
120	1128	8197
121	1137	8183
122	1144	8158
123	1152	8142
124	1161	8130
125	1170	8117
126	1179	8105
127	1187	8090
128	1194	8066
129	1202	8047
130	1208	8019
131	1217	8006
132	1225	7990
133	1235	7987
134	1243	7966
135	1251	7953
136	1259	7932
137	1266	7913
138	1274	7892
139	1281	7869
140	1288	7850
141	1295	7825
142	1303	7809
143	1309	7785
144	1317	7769
145	1323	7743
146	1331	7725
147	1337	7699
148	1343	7675
149	1352	7662
150	1359	7645
151	1367	7627
152	1374	7610
153	1382	7594
154	1388	7571
155	1396	7554
156	1402	7532
157	1410	7518
158	1417	7496
159	1424	7478
160	1430	7455
161	1437	7435
162	1444	7419
163	1451	7401
164	1461	7398
165	1470	7389
166	1479	7378
167	1488	7370
168	1497	7363
169	1505	7351
170	1514	7342
171	1523	7334
172	1534	7333
173	1543	7329
174	1552	7319
175	1562	7316
176	1572	7310
177	1580	7296
178	1589	7292
179	1599	7287
180	1609	7282
181	1620	7282
182	1629	7274
183	1639	7270
184	1648	7264
185	1657	7255
186	1667	7248
187	1673	7228
188	1684	7227
189	1692	7213
190	1701	7205
191	1709	7193
192	1741	7283
193	1749	7267
194	1756	7252
195	1766	7244
196	1775	7236
197	1786	7234
198	1797	7233
199	1806	7225
200	1819	7233
201	1834	7248
202	1849	7263
203	1865	7279
204	1878	7283
205	1891	7290
206	1904	7297
207	1917	7300
208	1930	7306
209	1943	7310
210	1955	7311
211	1965	7306
212	1976	7301
213	1992	7319
214	2017	7366
215	2030	7371
216	2046	7385
217	2060	7392
218	2076	7404
219	2091	7413
220	2106	7426
221	2123	7442
222	2139	7454
223	2152	7457
224	2167	7466
225	2183	7478
226	2200	7492
227	2216	7503
228	2230	7511
229	2243	7509
230	2258	7517
231	2271	7520
232	2286	7525
233	2298	7525
234	2310	7520
235	2319	7507
236	2330	7504
237	2340	7491
238	2350	7483
239	2360	7473
240	2369	7461
241	2378	7451
242	2386	7435
243	2397	7427
244	2408	7422
245	2417	7410
246	2427	7400
247	2442	7405
248	2450	7391
249	2460	7381
250	2468	7365
251	2476	7350
252	2483	7334
253	2492	7321
254	2502	7310
255	2514	7308
256	2524	7297
257	2532	7282
258	2564	7336
259	2582	7349
260	2592	7340
261	2604	7337
262	2613	7323
263	2622	7310
264	2630	7296
265	2639	7282
266	2647	7268
267	2656	7255
268	2666	7245
269	2674	7230
270	2682	7217
271	2690	7200
272	2699	7188
273	2706	7171
274	2715	7158
275	2722	7140
276	2731	7128
277	2738	7111
278	2747	7099
279	2754	7083
280	2762	7069
281	2770	7053
282	2778	7039
