BathroomCount,BedroomCount,ConstructionYear,District,Furnished,Garden,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,Price,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
1.0,0,1974.0,Namur,0.0,1.0,SEMI_EQUIPPED,29.0,30.0,2.0,C,95000,Namur,Wallonie,6.0,1.0,GOOD,flat_studio,356.0,0.0,1.0,1.0,2,residential_sale
1.0,0,2015.0,Leuven,1.0,1.0,HYPER_EQUIPPED,17.0,30.0,3.0,A,155000,Flemish Brabant,Flanders,6.0,1.0,GOOD,kot,356.0,0.0,1.0,1.0,2,residential_sale
3.0,4,1996.0,Charleroi,0.0,1.0,HYPER_EQUIPPED,264.0,30.0,2.0,C,300000,Hainaut,Wallonie,6.0,3.0,JUST_RENOVATED,house,365.0,0.0,1.0,3.0,1,residential_sale
2.0,0,1935.0,Leuven,0.0,1.0,INSTALLED,917.0,30.0,2.0,F,695000,Flemish Brabant,Flanders,6.0,2.0,TO_BE_DONE_UP,mixed_use_building,692.0,0.0,1.0,4.0,1,residential_sale
1.0,2,1996.0,Tournai,0.0,1.0,HYPER_EQUIPPED,133.0,30.0,2.0,C,210000,Hainaut,Wallonie,6.0,1.0,AS_NEW,apartment,356.0,0.0,1.0,1.0,2,residential_sale
2.0,4,1996.0,Liège,0.0,1.0,NOT_INSTALLED,144.0,30.0,2.0,D,215000,Liège,Wallonie,14.0,1.0,GOOD,house,184.0,0.0,1.0,2.0,1,residential_sale
1.0,4,1996.0,Mons,0.0,1.0,NOT_INSTALLED,280.0,30.0,3.0,E,260000,Hainaut,Wallonie,6.0,1.0,TO_BE_DONE_UP,house,380.0,0.0,1.0,1.0,1,residential_sale
1.0,3,1996.0,Verviers,0.0,1.0,INSTALLED,163.0,30.0,3.0,B,135000,Liège,Wallonie,6.0,1.0,GOOD,loft,356.0,0.0,1.0,1.0,2,residential_sale
1.0,2,1996.0,Aalst,0.0,1.0,INSTALLED,90.0,30.0,2.0,E,119000,East Flanders,Flanders,6.0,1.0,GOOD,house,30.0,0.0,1.0,1.0,1,residential_sale
3.0,3,1930.0,Charleroi,0.0,1.0,INSTALLED,238.0,30.0,2.0,C,219900,Hainaut,Wallonie,6.0,4.0,GOOD,mixed_use_building,182.0,0.0,1.0,4.0,1,residential_sale
2.0,3,1952.0,Gent,0.0,1.0,HYPER_EQUIPPED,400.0,30.0,4.0,D,1200000,East Flanders,Flanders,6.0,2.0,GOOD,house,317.0,0.0,1.0,2.0,1,residential_sale
